Mes,Data,Modelo,EMAE4.SA,GFSA3.SA,AGRO3.SA,BRAP4.SA,BRPR3.SA,MGLU3.SA,OIBR3.SA,CSNA3.SA,PCAR3.SA,BBAS3.SA,PLPL3.SA,RDOR3.SA,PSSA3.SA,TIMS3.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,EMBR3.SA,MOVI3.SA,CMIG4.SA,VLID3.SA,MSFT34.SA,AERI3.SA,CXSE3.SA,BPAC11.SA,TEND3.SA,TRIS3.SA,HBOR3.SA,POSI3.SA,TRAD3.SA,PRIO3.SA,MRVE3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,PETR4.SA,BRIV3.SA,SUZB3.SA,SBSP3.SA,VALE3.SA,EVEN3.SA,VIVT3.SA,SANB11.SA,LREN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,TOTS3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,ASAI3.SA,TFCO4.SA
2023-01,2023-01-01,RF,0.4,0.1167999333102214,0.12936140253275047,0.16856629309161983,0.18527237106540462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,RF,,,,,,0.1714710531632935,0.07277941821277345,0.2419615379685948,0.10421411111735966,0.29694412516843444,0.034220173125678995,0.0784095812438652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,RF,,,,,,,,,,0.04755946525813746,,,0.4,0.4,0.07071910962348596,0.08172142511837169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,RF,,,,,,,,,,,0.16148840325659528,,,,,,0.010037895850178663,0.3808251802371921,0.01708558515003654,0.1586633046108223,0.07763050732572298,0.19426912356944784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,RF,0.22069030230360626,,,,0.0016425763956284902,,,,,,,,,0.28332330565028735,,,,,,,,,0.032412359498203834,0.39999999999999986,0.013654300798852237,0.006939352250738825,0.041337803102683236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,RF,,,,,0.005879693777895033,,,,,,0.14203085549432268,,,,0.39999999999999986,,0.028109476573769096,,,,0.07927709183273163,,,,,0.05005921120122103,0.19931196091115919,0.09533171020890145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,RF,,0.017949379165851802,,,0.008571822989192549,,,,,,0.18616863493394215,,,,,,0.1128534949473434,,,,,,,,0.34675578387435785,0.13731001848236216,,0.061211911185316985,0.1291789544216331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,RF,,,,,,,,,,,0.06532870070670303,,,,0.07307798888326998,,,,,,,,,,,,,,,0.00804675088436697,0.12578221875243353,0.008909177175306806,0.4,0.12032469107220957,0.19853047252571,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,RF,,,,,,,,,,,,,,,0.022790934585671954,,,0.14319072500427346,,,0.10082378592565358,,,,,0.01989204400215736,,,,,,,,,,0.30752505902703453,0.17776570092021632,0.22801175053499323,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,RF,0.11488835145926493,,0.2604760211060154,,,,,,,,,,,0.006067912314501765,,,,,,,,,,,,,,,,,,,,,,0.13270874882280131,0.1214543574063338,0.3114943370839146,0.052910271807168396,,,,,,,,,,,,,,,,,,,,,
2023-11,2023-11-01,RF,,0.11897495592931767,,,,,,,,,,,,,,,,,,,,0.3450341244322502,,,,,,,,,0.033780911464879715,,,,,,,,,0.13041944989877768,0.006983099399753473,0.27842476912881997,0.08638268974620135,,,,,,,,,,,,,,,,,
2023-12,2023-12-01,RF,,0.02553066767990014,,,,,,0.4,,,,,,,,,0.01661720782121148,0.2584222689817939,,,0.1615672110584944,,,,,,,,,,,,,,,,,,,,,,,0.13786264445840649,,,,,,,,,,,,,,,,
