Mes,Data,Modelo,EMAE4.SA,GFSA3.SA,BRAP4.SA,GGBR4.SA,PRIO3.SA,AGRO3.SA,CSNA3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,BBAS3.SA,PSSA3.SA,EMBR3.SA,PLPL3.SA,AZUL4.SA,MOVI3.SA,MSFT34.SA,VLID3.SA,BRPR3.SA,TIMS3.SA,TEND3.SA,BPAC11.SA,PINE4.SA,TRIS3.SA,MRVE3.SA,BRSR6.SA,PETR4.SA,TRAD3.SA,CYRE3.SA,HBOR3.SA,TFCO4.SA,SUZB3.SA,BRIV3.SA,VIVT3.SA,VALE3.SA,CXSE3.SA,TOTS3.SA,LREN3.SA,USIM5.SA,EVEN3.SA,DIRR3.SA,SBSP3.SA,OIBR4.SA,POSI3.SA,PETZ3.SA,WEGE3.SA,EGIE3.SA,RDOR3.SA,CMIG4.SA,RAIL3.SA,SEQL3.SA,BBDC4.SA,SLCE3.SA,B3SA3.SA,ELET3.SA,ABEV3.SA,PCAR3.SA,RENT3.SA,ASAI3.SA,HYPE3.SA
2023-01,2023-01-01,media3m,0.1629650668602205,0.10892324752808431,0.4,0.14076165514160927,0.08581944467312436,0.10153058579696167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,media3m,0.09931433929739787,0.016565021192366355,0.39549227236773665,0.24386024614134044,,,0.06265342412459404,0.07709128376809962,0.06035257834515127,0.04467083476331371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,media3m,,0.013746557509035124,,,,,0.10318265296376876,0.04559995315815035,,,0.2609072491106215,0.3234918325552008,0.2530717547032237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,media3m,,,,,,,,,,,0.1376684983156642,,0.3999999999999999,0.11988171497854218,0.009816029906747091,0.030712309643467745,0.22143970218886755,0.08048174496671133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,media3m,0.13755165026824165,,,,,,,,0.016628733361153076,,,,,0.17210686158844993,,0.029023203579152796,,,0.003342597635951134,0.39999999999997227,0.05551244410172097,0.18583450946535818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,media3m,0.12684952209840367,,,,,,,,,,,,,0.15540592180067592,,0.023682567618779165,,0.16118522353327508,,,0.059073917221829704,,0.2662992858110919,0.16498282950201254,0.04252073233451541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,media3m,,,,,,,,,,,,,,0.05202709798029011,,,,,,,0.010567481779816874,0.12188744286020826,0.06370329520511672,0.06474131558166198,,0.4,0.2869525040215248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,media3m,,,,,,,,,,,,,,0.12244177583035781,,,,,,,0.03557595614477339,,0.07625581574022264,0.22684780002949095,0.021111652974203803,,,0.03339270346532793,0.3999999999999999,0.08437429581562361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,media3m,,,,,0.22537867963665242,,,,,,,,,0.019001752061421504,,,,0.13588429980579972,,,0.061268774554929156,,0.05245302062251733,,,,0.25607357085046173,,,,0.24993990246821812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,media3m,,,,,0.08776209782636513,0.19081440580451936,,,,,,,,,,,,0.029885435740528488,,,,,0.032318466253387614,,,,0.1873942581622149,,,,,0.33881473243135085,0.13243889780515716,,,,,,,,,,,,,,,,,,,,,,,,,,,
