Mes,Data,Modelo,ITUB4.SA,BBDC4.SA,BBAS3.SA,BPAC11.SA,BRAP4.SA,SANB11.SA,BRSR6.SA,CXSE3.SA
2023-01,2023-01-01,menor_variancia,0.02876208404518145,0.3999999999999995,0.17123791595481863,0.39999999999999925,,,,
2023-02,2023-02-01,menor_variancia,,0.3999999999999997,0.20000000000000004,0.4,,,,
2023-03,2023-03-01,menor_variancia,0.2000000000000009,,0.4,0.3999999999999996,,,,
2023-04,2023-04-01,menor_variancia,,0.31556218359519167,0.28443781640480864,0.4,,,,
2023-05,2023-05-01,menor_variancia,0.19999999999999996,0.4,,0.4,,,,
2023-06,2023-06-01,menor_variancia,0.20000000000000004,0.39999999999999986,,0.4,,,,
2023-07,2023-07-01,menor_variancia,0.20000000000000112,0.4,,0.39999999999999974,,,,
2023-08,2023-08-01,menor_variancia,,0.07196100655874976,0.3999999999999998,0.4,0.12803899344125028,,,
2023-09,2023-09-01,menor_variancia,,0.39999999999999997,0.19999999999999998,0.4,,,,
2023-10,2023-10-01,menor_variancia,0.014704815399871979,0.4,0.061215253197016956,0.39999999999999963,,0.012257359121390365,0.11182257228172084,
2023-11,2023-11-01,menor_variancia,0.07870648669803745,0.39999999999999997,,0.4,,,0.12129351330196235,
2023-12,2023-12-01,menor_variancia,,0.20000000000000012,,0.4,,,0.39999999999999886,
2024-01,2024-01-01,menor_variancia,,0.31917985284789585,,0.3999999999999999,,,0.2808201471521027,
2024-02,2024-02-01,menor_variancia,,0.30478862181672,,0.4,,,0.2952113781832797,
2024-03,2024-03-01,menor_variancia,0.021576178155733063,0.4,,0.08789997414700962,,0.09052384769725724,0.4,
2024-04,2024-04-01,menor_variancia,0.13362241022003926,0.4,,,,0.06637758977996083,0.39999999999999997,
2024-05,2024-05-01,menor_variancia,,0.4,,,,,0.3999999999999992,0.1999999999999993
2024-06,2024-06-01,menor_variancia,,,,0.39999999999999997,,,0.4,0.20000000000000012
2024-07,2024-07-01,menor_variancia,,,,0.4,,,0.4,0.2000000000000059
2024-08,2024-08-01,menor_variancia,,,,0.4,,0.1156066184747263,0.4,0.08439338152527374
2024-09,2024-09-01,menor_variancia,,0.19999999999999998,,0.4,,,0.39999999999999997,
2024-10,2024-10-01,menor_variancia,,0.4,,0.1999999999999992,,,0.4,
2024-11,2024-11-01,menor_variancia,,0.3999999999999991,,0.31067314870416574,0.2893268512958373,,,
2024-12,2024-12-01,menor_variancia,,0.3999999999999999,,0.39999999999999986,0.20000000000000012,,,
2025-01,2025-01-01,menor_variancia,,0.4,,0.4,,,,0.20000000000000034
2025-02,2025-02-01,menor_variancia,,0.20000000000000226,,0.39999999999999936,,0.4,,
2025-03,2025-03-01,menor_variancia,,0.4,,0.3999999999999999,,0.20000000000000034,,
2025-04,2025-04-01,menor_variancia,,0.39999999999999997,,0.3999999999999999,,0.20000000000000046,,
2025-05,2025-05-01,menor_variancia,,0.3999999999999999,,0.27435950386333224,,0.32564049613666785,,
2025-06,2025-06-01,menor_variancia,,0.39999999999999986,,0.4,,0.2000000000000006,,
2025-07,2025-07-01,menor_variancia,,0.4,,0.39999999999999997,,,0.199999999999999,
2025-08,2025-08-01,menor_variancia,,0.4,0.3999999999999824,0.20000000000000642,,,,
2025-09,2025-09-01,menor_variancia,,,0.4,0.08798512273590471,,0.1120148772640954,0.39999999999999986,
2025-10,2025-10-01,menor_variancia,,,0.4,0.39999999999999997,,,0.1999999999999999,
