Mes,Data,Modelo,ITUB4.SA,BBDC4.SA,BBAS3.SA,BPAC11.SA,BRAP4.SA,SANB11.SA,BRSR6.SA,CXSE3.SA
2023-01,2023-01-01,menorvariancia,0.028767529682614732,0.3999999999999993,0.1712324703173854,0.4,,,,
2023-02,2023-02-01,menorvariancia,,0.4,0.20000000000000012,0.39999999999999997,,,,
2023-03,2023-03-01,menorvariancia,0.1999999999999997,,0.4,0.3999999999999999,,,,
2023-04,2023-04-01,menorvariancia,,0.3155615268341901,0.2844384731658104,0.3999999999999999,,,,
2023-05,2023-05-01,menorvariancia,0.19999999999999996,0.4,,0.3999999999999999,,,,
2023-06,2023-06-01,menorvariancia,0.19999999999999973,0.4,,0.39999999999999997,,,,
2023-07,2023-07-01,menorvariancia,0.2000000000000023,0.39999999999999986,,0.4,,,,
2023-08,2023-08-01,menorvariancia,,0.07195870615033748,0.4,0.4,0.1280412938496626,,,
2023-09,2023-09-01,menorvariancia,,0.3999999999999998,0.2000000000000002,0.3999999999999999,,,,
2023-10,2023-10-01,menorvariancia,0.014707561845929203,0.39999999999999997,0.061214814878732475,0.4,,0.012254637604259731,0.1118229856710785,
2023-11,2023-11-01,menorvariancia,0.07870967067696967,0.4,,0.4,,,0.12129032932302995,
2023-12,2023-12-01,menorvariancia,,0.19999999999999976,,0.3999999999999997,,,0.4,
2024-01,2024-01-01,menorvariancia,,0.31918641085665433,,0.4,,,0.280813589143338,
2024-02,2024-02-01,menorvariancia,,0.3047904231143108,,0.39999999999999986,,,0.29520957688568916,
2024-03,2024-03-01,menorvariancia,0.021576471219506222,0.4,,0.08789901364000204,,0.09052451514049176,0.3999999999999998,
2024-04,2024-04-01,menorvariancia,0.13362423963578196,0.4,,,,0.06637576036421794,0.39999999999999974,
2024-05,2024-05-01,menorvariancia,,0.4,,,,,0.4,0.19999999999999957
2024-06,2024-06-01,menorvariancia,,,,0.4,,,0.3999999999999999,0.19999999999999984
2024-07,2024-07-01,menorvariancia,,,,0.39999999999999997,,,0.4,0.20000000000000964
2024-08,2024-08-01,menorvariancia,,,,0.3999999999999999,,0.11560689265593853,0.4,0.0843931073440622
2024-09,2024-09-01,menorvariancia,,0.20000000000000007,,0.39999999999999997,,,0.39999999999999997,
2024-10,2024-10-01,menorvariancia,,0.4,,0.1999999999999998,,,0.4,
2024-11,2024-11-01,menorvariancia,,0.39999999999999947,,0.3106674632180408,0.289332536781961,,,
2024-12,2024-12-01,menorvariancia,,0.4,,0.4,0.19999999999999984,,,
2025-01,2025-01-01,menorvariancia,,0.4,,0.4,,,,0.20000000000000015
2025-02,2025-02-01,menorvariancia,,0.19999999999999768,,0.3999999999999987,,0.4,,
2025-03,2025-03-01,menorvariancia,,0.3999999999999996,,0.4,,0.20000000000000015,,
2025-04,2025-04-01,menorvariancia,,0.4,,0.4,,0.20000000000000012,,
2025-05,2025-05-01,menorvariancia,,0.39999999999999997,,0.274358960490959,,0.3256410395090411,,
2025-06,2025-06-01,menorvariancia,,0.4,,0.4,,0.1999999999999999,,
2025-07,2025-07-01,menorvariancia,,0.4,,0.4,,,0.19999999999999513,
2025-08,2025-08-01,menorvariancia,,0.4,0.4,0.2000000000000044,,,,
2025-09,2025-09-01,menorvariancia,,,0.39999999999999997,0.08798501841485752,,0.11201498158514242,0.4,
2025-10,2025-10-01,menorvariancia,,,0.39999999999999986,0.3999999999999999,,,0.20000000000000023,
