Mes,Data,Modelo,GFSA3.SA,EMAE4.SA,AGRO3.SA,BRPR3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,PCAR3.SA,CSNA3.SA,BBAS3.SA,PSSA3.SA,TIMS3.SA,SUZB3.SA,MSFT34.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,PLPL3.SA,MOVI3.SA,EMBR3.SA,VLID3.SA,CMIG4.SA,BPAC11.SA,TRIS3.SA,TEND3.SA,MRVE3.SA,HBOR3.SA,LREN3.SA,TRAD3.SA,POSI3.SA,ASAI3.SA,PRIO3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,SLCE3.SA,PETR4.SA,BRIV3.SA,SBSP3.SA,VALE3.SA,VIVT3.SA,SANB11.SA,TOTS3.SA,EVEN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,CXSE3.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,RDOR3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,BBDC4.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,HYPE3.SA,TFCO4.SA
2023-01,2023-01-01,retorno_ultimo_mes,0.39999999999999136,0.4,0.02568803723038318,0.1743119627696389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,retorno_ultimo_mes,,,,,0.2713403878519915,0.10906618370669842,0.06669367913148815,0.10016241657315969,0.20670900216290086,0.2460283305737609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,retorno_ultimo_mes,,,,,,,,,,,0.2840315921782209,0.30166904730030625,0.15872905348922295,0.15069487879295843,0.049828134382978694,0.055047293856312844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,retorno_ultimo_mes,,,,,,,,,,,,,,0.19799642523812444,,,0.05907643003265193,0.1640989703447794,0.04511957045863599,0.34945352961686693,0.07603604993706523,0.10821902437187639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,retorno_ultimo_mes,,0.2902350695923973,,0.017207595548854294,,0.02644902546309165,,,,,,0.4,,,,,,,,,,,0.13536827732967072,0.10717577406867863,0.023564257997309906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,retorno_ultimo_mes,,,,,,,,,,,,,,,0.39999999999960895,,0.016268651006828963,,,,0.14707705566912826,,,0.17781496911509767,0.05387531600078817,0.058256878299871064,0.09314444929044709,0.05356268061822981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,retorno_ultimo_mes,0.05677661636323309,,,0.005772083182099036,,,,,,,,,,,,,0.013519016099989482,0.20308938285297534,,,,,,,0.08263390787257452,,,,0.3348262193168763,0.1247656723625374,0.1786171019497149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,retorno_ultimo_mes,,,,,,,,,,,,,,,0.056797512386719644,,,0.03138359870474544,,,,,,,,0.016089083004496837,,,,,,0.1230064009416963,0.3999999999999988,0.08842207125634488,0.15082499461256385,0.13347633909343432,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,retorno_ultimo_mes,,,,,,,,,,,,,0.23653625230845415,,,,,,0.014534687526034195,0.06091902023194349,0.03207462922322535,,,,0.02689133388732806,,,,,,,,,,,,0.2741247546578789,0.2074565813144375,0.14746274085069844,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,retorno_ultimo_mes,,0.12494254547859537,0.37104787754824137,,,,,,,,,,0.1761935724712074,,,,,,,,,,,,,,,,,,,,,,,,0.09259808244382885,0.12333223133942915,0.06023203726403031,0.01045253728362299,0.04120111617104464,,,,,,,,,,,,,,,,,,,,,
2023-11,2023-11-01,retorno_ultimo_mes,0.1320263676728129,,,,,,,,,0.01834285684081363,,,,0.2814412717986578,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35956705157628277,0.2086224521799219,,,,,,,,,,,,,,,,,,,,
2023-12,2023-12-01,retorno_ultimo_mes,,,,,0.025159989932793572,,,,0.39999999999678393,,,,,,,,0.004120125707367127,,,,0.11825446566189607,,,,,,,0.14331817094985924,,,,,,,,,,,,,,,0.3091472477493064,,,,,,,,,,,,,,,,,,,
2024-01,2024-01-01,retorno_ultimo_mes,0.08812325428991682,,,,,,,,0.14712121468772377,,,,,,0.12083928624169674,,,,,,,,,,,,,,,,,,,0.07471313048474584,,,,,,,,,,0.14755704277393347,0.4,0.02164607152198323,,,,,,,,,,,,,,,,
2024-02,2024-02-01,retorno_ultimo_mes,0.014431352512132054,,,,,,,,,,,,,0.17794584855915382,,,,,,,,,,,,,,,,,,,,,,,0.16268816263914357,,0.0839314034593353,,,,,,,,0.20679594011727437,0.3542072927129089,,,,,,,,,,,,,,
2024-03,2024-03-01,retorno_ultimo_mes,,,,,,,0.044498621993262426,,,,,,,,0.03421113074515327,,,0.030183678618010627,,,,,,,,,,,0.1998514850875175,,,,0.09431100848851291,,,,,0.4,,,,,,,0.16439264015983224,,,,0.032551434906110774,,,,,,,,,,,,,
2024-04,2024-04-01,retorno_ultimo_mes,,,,,,,,,,,,,0.15099871926608785,,,,,,,0.39017790086709975,,,,0.010498286310883833,0.009513053060155046,,,,,0.16347626458208955,,0.12379281835444746,,,,,,,,,,,,,,,,0.1515429575592365,,,,,,,,,,,,,,
2024-05,2024-05-01,retorno_ultimo_mes,,,,,,,0.007327354850863847,,,,,,,,,0.13502835189523618,,,,,,,,,,,,,0.033873449476377916,,,,,,,,0.3396303473521314,,,,,0.2063049967713628,,,,,,0.1205105098951492,0.08627253023274163,0.07105245952613722,,,,,,,,,,,,
2024-06,2024-06-01,retorno_ultimo_mes,,,,,,,,,,,,,,0.20575647205647288,,,,,,0.06291921024591288,,,,,,,,,,,,,,,,,,,,,,,0.07960292970642345,,,0.05913109292790363,,,,0.3504100198766062,0.1880295333341505,0.05415074185253079,,,,,,,,,,
2024-07,2024-07-01,retorno_ultimo_mes,,,,,,,,,,,,,0.10439861752159567,0.21113870033233642,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07441404929403952,,,0.010237839221580917,,,,,,,0.08720716528106233,0.11260362834934534,,,,,,,,
2024-08,2024-08-01,retorno_ultimo_mes,,,,,,,,,,,,0.12055079121676492,,,,0.4,,0.05311651626806271,0.0015088982691913993,0.08667110349709248,0.10081585841835941,,,,0.030213837641767584,,,,,,,,,,,,,,0.2071229946887279,,,,,,,,,,,,,,,,,,,,,,,
2024-09,2024-09-01,retorno_ultimo_mes,,,,,,0.21618659761097203,0.003603416024965304,,,,,,,,,,,,,,0.1964230980755829,,,,,,,0.09560518739027127,,,,,,,,,,,,,,,,,,,,,0.07998157444374751,,,,,,0.008200126454462688,0.4,,,,,,
2024-10,2024-10-01,retorno_ultimo_mes,,,,,,,0.00388410469992587,,0.013320668202002074,,0.36621841554716766,,,,,,0.014059116382175527,,,,,,,,,,,,0.0736370640507995,,,,,,,,,,,0.2671548596475215,0.20497983652263224,,,,,0.05674593494777569,,,,,,,,,,,,,,,,
2024-11,2024-11-01,retorno_ultimo_mes,,,,,,,,,,,,,0.3999999999999862,,,,,0.0782046872752699,,0.09839097886332136,,,,,0.14390111184012466,,,,0.02801249113535608,0.15040406761183484,0.0846939910135288,,,,,,,,,,,,,,0.016392672260578077,,,,,,,,,,,,,,,,,
2024-12,2024-12-01,retorno_ultimo_mes,,,,,,,,,,,,,0.12102392737203437,,,,,,,0.1276102347905972,0.024971923757698668,0.24712264758427113,,,,,,,0.0014586168564731901,,,,,,0.19008884603706974,,0.2273783664988812,,,,,,,,,,,0.06034543710297457,,,,,,,,,,,,,,
