Mes,Data,Modelo,GFSA3.SA,EMAE4.SA,AGRO3.SA,BRPR3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,PCAR3.SA,CSNA3.SA,BBAS3.SA,PSSA3.SA,TIMS3.SA,SUZB3.SA,MSFT34.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,PLPL3.SA,MOVI3.SA,EMBR3.SA,VLID3.SA,CMIG4.SA,BPAC11.SA,TRIS3.SA,TEND3.SA,MRVE3.SA,HBOR3.SA,LREN3.SA,TRAD3.SA,POSI3.SA,ASAI3.SA,PRIO3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,SLCE3.SA,PETR4.SA,BRIV3.SA,SBSP3.SA,VALE3.SA,VIVT3.SA,SANB11.SA,TOTS3.SA,EVEN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,CXSE3.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,RDOR3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,BBDC4.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,HYPE3.SA,TFCO4.SA
2023-01,2023-01-01,retornoultimomes,0.3999999999999924,0.4,0.02568796987557964,0.17431203012444738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,retornoultimomes,,,,,0.2713397125829812,0.10906585671261697,0.06669339927051902,0.10016208704122148,0.20670806913620757,0.2460308752564528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,retornoultimomes,,,,,,,,,,,0.28403346813932245,0.3016686616801179,0.15872925156513298,0.15069572654765218,0.049827626658452875,0.05504526540932207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,retornoultimomes,,,,,,,,,,,,,,0.19799634723306855,,,0.059076438545707315,0.1640989221586916,0.04511950933618485,0.34945365679714885,0.076036231694759,0.10821889423443812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,retornoultimomes,,0.29034242516952163,,0.01720744614609187,,0.026460607672063582,,,,,,0.4,,,,,,,,,,,0.13533629195976138,0.10708148701565301,0.023571742036915182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,retornoultimomes,,,,,,,,,,,,,,,0.4,,0.01626865061658737,,,,0.14707716371253202,,,0.17781486529266408,0.0538753634914718,0.05825686754648503,0.0931447281474119,0.05356236119256096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,retornoultimomes,0.056776595493528294,,,0.005772087951714304,,,,,,,,,,,,,0.013519025250037595,0.20308920249106335,,,,,,,0.08263388255345423,,,,0.334826293432164,0.1247657902128767,0.17861712261516152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,retornoultimomes,,,,,,,,,,,,,,,0.0567973695752541,,,0.031383557737211486,,,,,,,,0.016089105987622587,,,,,,0.12300617920079622,0.4,0.08842195278656982,0.15082555598836855,0.133476278724177,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,retornoultimomes,,,,,,,,,,,,,0.23653588882926316,,,,,,0.014533608818630238,0.06092094292026712,0.032075529110839336,,,,0.026890343672337207,,,,,,,,,,,,0.27412671448762477,0.2074562485568195,0.14746072360421872,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,retornoultimomes,,0.12494263092188834,0.37104747179492287,,,,,,,,,,0.17619318922606092,,,,,,,,,,,,,,,,,,,,,,,,0.09259834935331235,0.12333232371143345,0.06023184867549028,0.010452499105943681,0.04120168721094811,,,,,,,,,,,,,,,,,,,,,
2023-11,2023-11-01,retornoultimomes,0.13202637398114941,,,,,,,,,0.01834430624497533,,,,0.28144301710093333,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35956434349772354,0.20862195903850117,,,,,,,,,,,,,,,,,,,,
2023-12,2023-12-01,retornoultimomes,,,,,0.02515999558384292,,,,0.3999999999985254,,,,,,,,0.004120206156201196,,,,0.1182543367798571,,,,,,,0.14331768336302406,,,,,,,,,,,,,,,0.3091477781176363,,,,,,,,,,,,,,,,,,,
