Mes,Data,Modelo,BRIV3.SA,EMAE4.SA,PLPL3.SA,PRIO3.SA,PINE4.SA,BRAP4.SA,AGRO3.SA,GFSA3.SA,GGBR4.SA,CSNA3.SA,EMBR3.SA,WEGE3.SA,VALE3.SA,MSFT34.SA,BRPR3.SA,BBAS3.SA,CXSE3.SA,AZUL4.SA,TEND3.SA,MGLU3.SA,AERI3.SA,TRIS3.SA,MRVE3.SA,HBOR3.SA,VLID3.SA,TRAD3.SA,PETR4.SA,TFCO4.SA,VIVT3.SA,SBSP3.SA,USIM5.SA,OIBR3.SA,EVEN3.SA,DIRR3.SA,POSI3.SA,CMIG4.SA,PSSA3.SA,EGIE3.SA,PETZ3.SA,RDOR3.SA,LREN3.SA,SUZB3.SA,TOTS3.SA,B3SA3.SA,PCAR3.SA,ASAI3.SA,ELET3.SA,MOVI3.SA,BBDC4.SA
2023-01,2023-01-01,retornoultimos5m,0.089820873499859,0.20954723917462267,0.008822503001631959,0.15481586462024582,0.27592250501048204,0.20444532134642143,0.05662569334673719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,retornoultimos5m,0.16380292879413832,0.13246666159901851,0.05879050075868514,0.14671143861994332,,0.2940452821873214,,0.01749319553526068,0.18668999250563265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,retornoultimos5m,,0.06999831194155982,,,,0.1376238428899465,,0.0076572997153488125,0.10561315881840459,0.06434064278417716,0.24754186659058017,0.30896872646528073,0.058256150794702276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,retornoultimos5m,0.11939035080942696,,0.05530389068466326,,,0.0636476858166244,,,,0.08045557226668855,0.38401176322728187,,0.19909603993313157,0.09809469726218331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,retornoultimos5m,,0.1266302180208956,0.08094704654405482,,,,,0.023953099437717576,,,0.2618196484097564,,,,0.010716718313748253,0.2371916873174501,0.2587415819563772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,retornoultimos5m,,,0.21638774055600304,,0.39999999999999997,,,,,,,,,,0.016399358500703252,,,0.027610959220576648,0.11491317232277092,0.05119472478600742,0.034880423403373016,0.13861362121056567,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,retornoultimos5m,,,0.2236242760134371,,0.17750827307121247,,,,,,,,,,0.014201137417611878,,,0.17763570324274033,0.20951612844060244,,,0.15662381176851276,0.010848507046443922,0.03004216299943911,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,retornoultimos5m,,,0.1790570469193008,,0.0997315552805202,,,,,,,,,,0.21019781759103182,,,0.11560291169198605,0.09889754969097839,,,0.14027333018883434,0.0907044677629186,0.06553532087442983,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,retornoultimos5m,,,0.08658671595331709,,0.08949279553080408,,,,,,,,,,0.11535265559205066,,,,0.13080118744534197,,,0.08381951474613132,0.0858081437405004,,0.39999999999999997,0.008138986991854513,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,retornoultimos5m,,,0.04698468090353801,,0.16205727276727103,,,,,,,,,,,,,0.007759530691472751,0.07445375285058532,,,0.030046841001548735,0.08414651142733595,,0.23261949185411182,,0.3619319185041364,,,,,,,,,,,,,,,,,,,,,,
